その月の社会保険料等控除後の給与等の金額（以上）	その月の社会保険料等控除後の給与等の金額（未満）	扶養親族等の数（０人）	扶養親族等の数（１人）	扶養親族等の数（２人）	扶養親族等の数（３人）	扶養親族等の数（４人）	扶養親族等の数（５人）	扶養親族等の数（６人）	扶養親族等の数（７人）	乙
175000	177000	3830	2240	660	0	0	0	0	0	12400
177000	179000	3900	2310	730	0	0	0	0	0	12900
179000	181000	3970	2380	800	0	0	0	0	0	13600
181000	183000	4040	2450	870	0	0	0	0	0	14300
183000	185000	4110	2520	940	0	0	0	0	0	15000
185000	187000	4180	2590	1010	0	0	0	0	0	15700
187000	189000	4250	2660	1080	0	0	0	0	0	16400
189000	191000	4320	2730	1150	0	0	0	0	0	17100
191000	193000	4390	2800	1220	0	0	0	0	0	17700
193000	195000	4460	2870	1290	0	0	0	0	0	18400
195000	197000	4530	2940	1360	0	0	0	0	0	19100
197000	199000	4600	3010	1430	0	0	0	0	0	19800
199000	201000	4670	3080	1500	0	0	0	0	0	20500
201000	203000	4740	3150	1570	0	0	0	0	0	21100
203000	205000	4810	3220	1640	0	0	0	0	0	21700
205000	207000	4880	3290	1710	130	0	0	0	0	22200
207000	209000	4950	3360	1780	200	0	0	0	0	22800
209000	211000	5020	3430	1850	270	0	0	0	0	23400
211000	213000	5090	3500	1920	340	0	0	0	0	23900
213000	215000	5160	3570	1990	410	0	0	0	0	24500
215000	217000	5230	3640	2060	480	0	0	0	0	25000
217000	219000	5300	3710	2130	550	0	0	0	0	25600
219000	221000	5370	3780	2200	620	0	0	0	0	26200
221000	224000	5450	3870	2290	700	0	0	0	0	26800
224000	227000	5560	3980	2390	810	0	0	0	0	27800
227000	230000	5660	4080	2500	910	0	0	0	0	28700
230000	233000	5770	4190	2600	1020	0	0	0	0	29700
233000	236000	5870	4290	2710	1120	0	0	0	0	30700
236000	239000	5980	4400	2810	1230	0	0	0	0	31700
239000	242000	6080	4500	2920	1330	0	0	0	0	32700
242000	245000	6190	4610	3020	1440	0	0	0	0	33700
245000	248000	6290	4710	3130	1540	0	0	0	0	34700
248000	251000	6400	4820	3230	1650	0	0	0	0	35700
251000	254000	6500	4920	3340	1750	170	0	0	0	36700
254000	257000	6610	5030	3440	1860	280	0	0	0	37700
257000	260000	6710	5130	3550	1960	380	0	0	0	38600
260000	263000	6820	5240	3650	2070	490	0	0	0	39600
263000	266000	6920	5340	3760	2170	590	0	0	0	40600
266000	269000	7030	5450	3860	2280	700	0	0	0	41600
269000	272000	7130	5550	3970	2380	800	0	0	0	42600
272000	275000	7240	5660	4070	2490	910	0	0	0	43600
275000	278000	7340	5760	4180	2590	1010	0	0	0	44600
278000	281000	7450	5870	4280	2700	1120	0	0	0	45600
281000	284000	7550	5970	4390	2800	1220	0	0	0	46600
284000	287000	7660	6080	4490	2910	1330	0	0	0	47600
287000	290000	7760	6180	4600	3010	1430	0	0	0	48500
290000	293000	7870	6290	4700	3120	1540	0	0	0	49500
293000	296000	7970	6390	4810	3220	1640	0	0	0	50500
296000	299000	8080	6500	4910	3330	1750	160	0	0	51200
299000	302000	8250	6600	5020	3440	1850	270	0	0	51800
302000	305000	8490	6720	5140	3560	1970	390	0	0	52400
305000	308000	8730	6840	5260	3680	2090	510	0	0	53100
308000	311000	8970	6960	5380	3800	2210	630	0	0	53700
311000	314000	9210	7080	5500	3920	2330	750	0	0	54300
314000	317000	9450	7200	5620	4040	2450	870	0	0	54900
317000	320000	9690	7320	5740	4160	2570	990	0	0	55600
320000	323000	9930	7440	5860	4280	2690	1110	0	0	56500
323000	326000	10170	7560	5980	4400	2810	1230	0	0	57300
326000	329000	10410	7680	6100	4520	2930	1350	0	0	58100
329000	332000	10650	7800	6220	4640	3050	1470	0	0	59000
332000	335000	10890	7920	6340	4760	3170	1590	0	0	59800
335000	338000	11130	8040	6460	4880	3290	1710	130	0	60700
338000	341000	11370	8200	6580	5000	3410	1830	250	0	61600
341000	344000	11610	8440	6700	5120	3530	1950	370	0	62500
344000	347000	11850	8680	6820	5240	3650	2070	490	0	63400
347000	350000	12090	8920	6940	5360	3770	2190	610	0	64400
350000	353000	12330	9160	7060	5480	3890	2310	730	0	65300
353000	356000	12570	9400	7180	5600	4010	2430	850	0	66200
356000	359000	12810	9640	7300	5720	4130	2550	970	0	67100
359000	362000	13050	9880	7420	5840	4250	2670	1090	0	68000
362000	365000	13290	10120	7540	5960	4370	2790	1210	0	69000
365000	368000	13530	10360	7660	6080	4490	2910	1330	0	69900
368000	371000	13770	10600	7780	6200	4610	3030	1450	0	70800
371000	374000	14010	10840	7900	6320	4730	3150	1570	0	71600
374000	377000	14250	11080	8020	6440	4850	3270	1690	100	72400
377000	380000	14490	11320	8150	6560	4970	3390	1810	220	73200
380000	383000	14730	11560	8390	6680	5090	3510	1930	340	74100
383000	386000	14970	11800	8630	6800	5210	3630	2050	460	74900
386000	389000	15210	12040	8870	6920	5330	3750	2170	580	75700
389000	392000	15450	12280	9110	7040	5450	3870	2290	700	76600
392000	395000	15690	12520	9350	7160	5570	3990	2410	820	78100
395000	398000	15930	12760	9590	7280	5690	4110	2530	940	79700
398000	401000	16170	13000	9830	7400	5810	4230	2650	1060	81200
401000	404000	16410	13240	10070	7520	5930	4350	2770	1180	82800
404000	407000	16650	13480	10310	7640	6050	4470	2890	1300	84300
407000	410000	16890	13720	10550	7760	6170	4590	3010	1420	85900
410000	413000	17130	13960	10790	7880	6290	4710	3130	1540	87400
413000	416000	17370	14200	11030	8000	6410	4830	3250	1660	88900
416000	419000	17610	14440	11270	8120	6530	4950	3370	1780	90500
419000	422000	17850	14680	11510	8350	6650	5070	3490	1900	92000
422000	425000	18090	14920	11750	8590	6770	5190	3610	2020	93600
425000	428000	18330	15160	11990	8830	6890	5310	3730	2140	95100
428000	431000	18570	15400	12230	9070	7010	5430	3850	2260	96600
431000	434000	18810	15640	12470	9310	7130	5550	3970	2380	98200
434000	437000	19050	15880	12710	9550	7250	5670	4090	2500	99700
437000	440000	19290	16120	12950	9790	7370	5790	4210	2620	101300
440000	443000	19680	16360	13190	10030	7490	5910	4330	2740	102800
443000	446000	20160	16600	13430	10270	7610	6030	4450	2860	104400
446000	449000	20640	16840	13670	10510	7730	6150	4570	2980	105900
449000	452000	21120	17080	13910	10750	7850	6270	4690	3100	107400
452000	455000	21600	17320	14150	10990	7970	6390	4810	3220	109000
455000	458000	22080	17560	14390	11230	8090	6510	4930	3340	110500
458000	461000	22560	17800	14630	11470	8300	6630	5050	3460	112100
