その月の社会保険料等控除後の給与等の金額（以上）	その月の社会保険料等控除後の給与等の金額（未満）	扶養親族等の数（０人）	扶養親族等の数（１人）	扶養親族等の数（２人）	扶養親族等の数（３人）	扶養親族等の数（４人）	扶養親族等の数（５人）	扶養親族等の数（６人）	扶養親族等の数（７人）	乙	計算率（甲）	計算率（乙）
0	105000	0	0	0	0	0	0	0	0	0	0	0.3063
105000	107000	170	0	0	0	0	0	0	0	3800	0	0
107000	109000	280	0	0	0	0	0	0	0	3800	0	0
109000	111000	380	0	0	0	0	0	0	0	3900	0	0
111000	113000	480	0	0	0	0	0	0	0	4000	0	0
113000	115000	580	0	0	0	0	0	0	0	4100	0	0
												
115000	117000	680	0	0	0	0	0	0	0	4100	0	0
117000	119000	790	0	0	0	0	0	0	0	4200	0	0
119000	121000	890	0	0	0	0	0	0	0	4300	0	0
121000	123000	990	0	0	0	0	0	0	0	4300	0	0
123000	125000	1090	0	0	0	0	0	0	0	4400	0	0
												
125000	127000	1190	0	0	0	0	0	0	0	4700	0	0
127000	129000	1300	0	0	0	0	0	0	0	5000	0	0
129000	131000	1400	0	0	0	0	0	0	0	5300	0	0
131000	133000	1500	0	0	0	0	0	0	0	5500	0	0
133000	135000	1600	0	0	0	0	0	0	0	5800	0	0
												
135000	137000	1710	0	0	0	0	0	0	0	6100	0	0
137000	139000	1810	190	0	0	0	0	0	0	6400	0	0
139000	141000	1910	300	0	0	0	0	0	0	6700	0	0
141000	143000	2010	400	0	0	0	0	0	0	7000	0	0
143000	145000	2110	500	0	0	0	0	0	0	7400	0	0
												
145000	147000	2220	600	0	0	0	0	0	0	7700	0	0
147000	149000	2320	700	0	0	0	0	0	0	8000	0	0
149000	151000	2420	810	0	0	0	0	0	0	8300	0	0
151000	153000	2520	910	0	0	0	0	0	0	8600	0	0
153000	155000	2620	1010	0	0	0	0	0	0	8900	0	0
												
155000	157000	2730	1110	0	0	0	0	0	0	9200	0	0
157000	159000	2830	1210	0	0	0	0	0	0	9500	0	0
159000	161000	2910	1300	0	0	0	0	0	0	9800	0	0
161000	163000	2980	1370	0	0	0	0	0	0	10100	0	0
163000	165000	3050	1440	0	0	0	0	0	0	10400	0	0
												
165000	167000	3120	1510	0	0	0	0	0	0	10700	0	0
167000	169000	3200	1580	0	0	0	0	0	0	11000	0	0
169000	171000	3270	1650	0	0	0	0	0	0	11300	0	0
171000	173000	3340	1730	100	0	0	0	0	0	11500	0	0
173000	175000	3410	1800	170	0	0	0	0	0	11800	0	0
												
175000	177000	3480	1870	250	0	0	0	0	0	12100	0	0
177000	179000	3550	1940	320	0	0	0	0	0	12500	0	0
179000	181000	3620	2010	390	0	0	0	0	0	12800	0	0
181000	183000	3700	2080	460	0	0	0	0	0	13300	0	0
183000	185000	3770	2150	530	0	0	0	0	0	14000	0	0
												
185000	187000	3840	2230	600	0	0	0	0	0	14700	0	0
187000	189000	3910	2300	670	0	0	0	0	0	15400	0	0
189000	191000	3980	2370	750	0	0	0	0	0	16100	0	0
191000	193000	4050	2440	820	0	0	0	0	0	16800	0	0
193000	195000	4120	2510	890	0	0	0	0	0	17600	0	0
												
195000	197000	4200	2580	960	0	0	0	0	0	18300	0	0
197000	199000	4270	2650	1030	0	0	0	0	0	19000	0	0
199000	201000	4340	2730	1100	0	0	0	0	0	19700	0	0
201000	203000	4410	2800	1170	0	0	0	0	0	20400	0	0
203000	205000	4480	2870	1250	0	0	0	0	0	21000	0	0
												
205000	207000	4550	2940	1320	0	0	0	0	0	21700	0	0
207000	209000	4630	3010	1390	0	0	0	0	0	22500	0	0
209000	211000	4700	3080	1460	0	0	0	0	0	23000	0	0
211000	213000	4770	3150	1530	0	0	0	0	0	23600	0	0
213000	215000	4840	3230	1600	0	0	0	0	0	24100	0	0
												
215000	217000	4910	3300	1670	0	0	0	0	0	24700	0	0
217000	219000	4980	3370	1750	130	0	0	0	0	25300	0	0
219000	221000	5050	3440	1820	200	0	0	0	0	25800	0	0
221000	224000	5150	3520	1910	300	0	0	0	0	26400	0	0
224000	227000	5250	3630	2020	400	0	0	0	0	27500	0	0
											0	0
227000	230000	5360	3740	2120	510	0	0	0	0	28500	0	0
230000	233000	5460	3850	2240	610	0	0	0	0	29500	0	0
233000	236000	5570	3950	2340	720	0	0	0	0	30500	0	0
236000	239000	5680	4060	2450	830	0	0	0	0	31500	0	0
239000	242000	5790	4170	2550	940	0	0	0	0	32600	0	0
											0	0
242000	245000	5890	4280	2660	1040	0	0	0	0	33600	0	0
245000	248000	6000	4380	2770	1150	0	0	0	0	34600	0	0
248000	251000	6110	4490	2880	1260	0	0	0	0	35500	0	0
251000	254000	6220	4590	2980	1370	0	0	0	0	36600	0	0
254000	257000	6320	4710	3090	1470	0	0	0	0	37600	0	0
												
257000	260000	6430	4810	3200	1580	0	0	0	0	38600	0	0
260000	263000	6530	4920	3310	1680	0	0	0	0	39600	0	0
263000	266000	6650	5020	3410	1800	170	0	0	0	40600	0	0
266000	269000	6750	5140	3520	1900	290	0	0	0	41700	0	0
269000	272000	6860	5240	3620	2010	390	0	0	0	42700	0	0
												
272000	275000	6960	5350	3740	2110	500	0	0	0	43700	0	0
275000	278000	7080	5450	3840	2230	600	0	0	0	44700	0	0
278000	281000	7180	5560	3950	2330	710	0	0	0	45600	0	0
281000	284000	7290	5670	4050	2440	820	0	0	0	46700	0	0
284000	287000	7390	5780	4170	2540	930	0	0	0	47800	0	0
												
287000	290000	7500	5880	4270	2650	1030	0	0	0	48900	0	0
290000	293000	7610	5990	4380	2760	1140	0	0	0	50000	0	0
293000	296000	7720	6100	4480	2870	1250	0	0	0	51300	0	0
296000	299000	7820	6210	4590	2970	1360	0	0	0	52400	0	0
299000	302000	7930	6320	4700	3080	1470	0	0	0	53600	0	0
												
302000	305000	8060	6440	4820	3210	1590	0	0	0	54500	0	0
305000	308000	8180	6570	4940	3330	1720	0	0	0	55200	0	0
308000	311000	8300	6690	5060	3450	1840	210	0	0	56100	0	0
311000	314000	8550	6810	5190	3570	1960	340	0	0	56900	0	0
314000	317000	8790	6930	5310	3700	2080	460	0	0	57700	0	0
												
317000	320000	9040	7060	5430	3820	2210	580	0	0	58500	0	0
320000	323000	9280	7180	5550	3940	2330	700	0	0	59500	0	0
323000	326000	9530	7300	5680	4060	2450	830	0	0	60500	0	0
326000	329000	9770	7420	5800	4190	2570	950	0	0	61600	0	0
329000	332000	10020	7550	5920	4310	2700	1070	0	0	62600	0	0
												
332000	335000	10260	7670	6040	4430	2820	1190	0	0	63700	0	0
335000	338000	10510	7790	6170	4550	2940	1320	0	0	64700	0	0
338000	341000	10750	7910	6290	4680	3060	1440	0	0	65800	0	0
341000	344000	11000	8040	6410	4800	3190	1560	0	0	66800	0	0
344000	347000	11240	8160	6530	4920	3310	1680	0	0	67800	0	0
												
347000	350000	11490	8280	6660	5040	3430	1810	190	0	68800	0	0
350000	353000	11730	8500	6780	5170	3550	1930	320	0	69800	0	0
353000	356000	11980	8750	6900	5290	3680	2050	440	0	70900	0	0
356000	359000	12220	9000	7020	5410	3800	2170	560	0	71900	0	0
359000	362000	12470	9240	7150	5530	3920	2300	680	0	72900	0	0
												
362000	365000	12710	9490	7270	5660	4040	2420	810	0	73900	0	0
365000	368000	12960	9730	7390	5780	4170	2540	930	0	74900	0	0
368000	371000	13200	9980	7510	5900	4290	2660	1050	0	76000	0	0
371000	374000	13450	10220	7640	6020	4410	2790	1170	0	76900	0	0
