都道府県	一般保険料率（％）	介護保険料率（％）	特定保険料率（％）	基本保険料率（％）
北海道	10.12	1.55	4.01	6.11
青森県	10	1.55	4.01	5.99
岩手県	9.93	1.55	4.01	5.92
宮城県	10.01	1.55	4.01	6
秋田県	10.02	1.55	4.01	6.01
山形県	9.96	1.55	4.01	5.95
福島県	9.96	1.55	4.01	5.95
茨城県	9.93	1.55	4.01	5.92
栃木県	9.95	1.55	4.01	5.94
群馬県	9.95	1.55	4.01	5.94
埼玉県	9.94	1.55	4.01	5.93
千葉県	9.93	1.55	4.01	5.92
東京都	9.97	1.55	4.01	5.96
神奈川県	9.98	1.55	4.01	5.97
新潟県	9.9	1.55	4.01	5.89
富山県	9.93	1.55	4.01	5.92
石川県	10.03	1.55	4.01	6.02
福井県	10.02	1.55	4.01	6.01
山梨県	9.94	1.55	4.01	5.93
長野県	9.85	1.55	4.01	5.84
岐阜県	9.99	1.55	4.01	5.98
静岡県	9.92	1.55	4.01	5.91
愛知県	9.97	1.55	4.01	5.96
三重県	9.94	1.55	4.01	5.93
滋賀県	9.97	1.55	4.01	5.96
京都府	9.98	1.55	4.01	5.97
大阪府	10.06	1.55	4.01	6.05
兵庫県	10	1.55	4.01	5.99
奈良県	10.02	1.55	4.01	6.01
和歌山県	10.02	1.55	4.01	6.01
鳥取県	9.98	1.55	4.01	5.97
島根県	10	1.55	4.01	5.99
岡山県	10.06	1.55	4.01	6.05
広島県	10.03	1.55	4.01	6.02
山口県	10.03	1.55	4.01	6.02
徳島県	10.08	1.55	4.01	6.07
香川県	10.09	1.55	4.01	6.08
愛媛県	10.03	1.55	4.01	6.02
高知県	10.04	1.55	4.01	6.03
福岡県	10.12	1.55	4.01	6.11
佐賀県	10.16	1.55	4.01	6.15
長崎県	10.06	1.55	4.01	6.05
熊本県	10.07	1.55	4.01	6.06
大分県	10.08	1.55	4.01	6.07
宮崎県	10.01	1.55	4.01	6
鹿児島県	10.03	1.55	4.01	6.02
沖縄県	10.03	1.55	4.01	6.02
