都道府県	一般保険料率（％）	介護保険料率（％）	特定保険料率（％）	基本保険料率（％）
北海道	10.12	1.55	4.15	5.97
青森県	10	1.55	4.15	5.85
岩手県	9.93	1.55	4.15	5.78
宮城県	10.01	1.55	4.15	5.86
秋田県	10.02	1.55	4.15	5.87
山形県	9.96	1.55	4.15	5.81
福島県	9.96	1.55	4.15	5.81
茨城県	9.93	1.55	4.15	5.78
栃木県	9.95	1.55	4.15	5.8
群馬県	9.95	1.55	4.15	5.8
埼玉県	9.94	1.55	4.15	5.79
千葉県	9.93	1.55	4.15	5.78
東京都	9.97	1.55	4.15	5.82
神奈川県	9.98	1.55	4.15	5.83
新潟県	9.9	1.55	4.15	5.75
富山県	9.93	1.55	4.15	5.78
石川県	10.03	1.55	4.15	5.88
福井県	10.02	1.55	4.15	5.87
山梨県	9.94	1.55	4.15	5.79
長野県	9.85	1.55	4.15	5.7
岐阜県	9.99	1.55	4.15	5.84
静岡県	9.92	1.55	4.15	5.77
愛知県	9.97	1.55	4.15	5.82
三重県	9.94	1.55	4.15	5.79
滋賀県	9.97	1.55	4.15	5.82
京都府	9.98	1.55	4.15	5.83
大阪府	10.06	1.55	4.15	5.91
兵庫県	10	1.55	4.15	5.85
奈良県	10.02	1.55	4.15	5.87
和歌山県	10.02	1.55	4.15	5.87
鳥取県	9.98	1.55	4.15	5.83
島根県	10	1.55	4.15	5.85
岡山県	10.06	1.55	4.15	5.91
広島県	10.03	1.55	4.15	5.88
山口県	10.03	1.55	4.15	5.88
徳島県	10.08	1.55	4.15	5.93
香川県	10.09	1.55	4.15	5.94
愛媛県	10.03	1.55	4.15	5.88
高知県	10.04	1.55	4.15	5.89
福岡県	10.12	1.55	4.15	5.97
佐賀県	10.16	1.55	4.15	6.01
長崎県	10.06	1.55	4.15	5.91
熊本県	10.07	1.55	4.15	5.92
大分県	10.08	1.55	4.15	5.93
宮崎県	10.01	1.55	4.15	5.86
鹿児島県	10.03	1.55	4.15	5.88
沖縄県	10.03	1.55	4.15	5.88
