都道府県	一般保険料率（％）	介護保険料率（％）	特定保険料率（％）	基本保険料率（％）
北海道	10.22	1.65	3.73	6.49
青森県	9.96	1.65	3.73	6.23
岩手県	9.82	1.65	3.73	6.09
宮城県	9.97	1.65	3.73	6.24
秋田県	10.16	1.65	3.73	6.43
山形県	9.99	1.65	3.73	6.26
福島県	9.85	1.65	3.73	6.12
茨城県	9.89	1.65	3.73	6.16
栃木県	9.94	1.65	3.73	6.21
群馬県	9.93	1.65	3.73	6.2
埼玉県	9.87	1.65	3.73	6.14
千葉県	9.89	1.65	3.73	6.16
東京都	9.91	1.65	3.73	6.18
神奈川県	9.93	1.65	3.73	6.2
新潟県	9.69	1.65	3.73	5.96
富山県	9.8	1.65	3.73	6.07
石川県	10.02	1.65	3.73	6.29
福井県	9.99	1.65	3.73	6.26
山梨県	10.04	1.65	3.73	6.31
長野県	9.76	1.65	3.73	6.03
岐阜県	9.95	1.65	3.73	6.22
静岡県	9.81	1.65	3.73	6.08
愛知県	9.92	1.65	3.73	6.19
三重県	9.92	1.65	3.73	6.19
滋賀県	9.92	1.65	3.73	6.19
京都府	9.99	1.65	3.73	6.26
大阪府	10.13	1.65	3.73	6.4
兵庫県	10.06	1.65	3.73	6.33
奈良県	10	1.65	3.73	6.27
和歌山県	10.06	1.65	3.73	6.33
鳥取県	9.99	1.65	3.73	6.26
島根県	10.1	1.65	3.73	6.37
岡山県	10.15	1.65	3.73	6.42
広島県	10.04	1.65	3.73	6.31
山口県	10.11	1.65	3.73	6.38
徳島県	10.18	1.65	3.73	6.45
香川県	10.24	1.65	3.73	6.51
愛媛県	10.11	1.65	3.73	6.38
高知県	10.18	1.65	3.73	6.45
福岡県	10.19	1.65	3.73	6.46
佐賀県	10.47	1.65	3.73	6.74
長崎県	10.22	1.65	3.73	6.49
熊本県	10.14	1.65	3.73	6.41
大分県	10.17	1.65	3.73	6.44
宮崎県	9.97	1.65	3.73	6.24
鹿児島県	10.13	1.65	3.73	6.4
沖縄県	9.95	1.65	3.73	6.22
