等級（健康保険）	等級（厚生年金）	標準報酬月額	標準報酬日額	報酬月額（以上）	報酬月額（未満）
0	1	98000		95000	101000
0	2	104000		101000	107000
0	3	110000		107000	114000
0	4	118000		114000	122000
0	5	126000		122000	130000
0	6	134000		130000	138000
0	7	142000		138000	146000
0	8	150000		146000	155000
0	9	160000		155000	165000
0	10	170000		165000	175000
0	11	180000		175000	185000
0	12	190000		185000	195000
0	13	200000		195000	210000
0	14	220000		210000	230000
0	15	240000		230000	250000
0	16	260000		250000	270000
0	17	280000		270000	290000
0	18	300000		290000	310000
0	19	320000		310000	330000
0	20	340000		330000	350000
0	21	360000		350000	370000
0	22	380000		370000	395000
0	23	410000		395000	425000
0	24	440000		425000	455000
0	25	470000		455000	485000
0	26	500000		485000	515000
0	27	530000		515000	545000
0	28	560000		545000	575000
0	29	590000		575000	605000
0	30	620000		605000	-
