都道府県	一般保険料率（％）	介護保険料率（％）	特定保険料率（％）	基本保険料率（％）
北海道	10.39	1.64	3.43	6.96
青森県	10.03	1.64	3.43	6.6
岩手県	9.91	1.64	3.43	6.48
宮城県	10.18	1.64	3.43	6.75
秋田県	10.27	1.64	3.43	6.84
山形県	9.99	1.64	3.43	6.56
福島県	9.65	1.64	3.43	6.22
茨城県	9.77	1.64	3.43	6.34
栃木県	9.9	1.64	3.43	6.47
群馬県	9.73	1.64	3.43	6.3
埼玉県	9.71	1.64	3.43	6.28
千葉県	9.76	1.64	3.43	6.33
東京都	9.81	1.64	3.43	6.38
神奈川県	9.85	1.64	3.43	6.42
新潟県	9.51	1.64	3.43	6.08
富山県	9.61	1.64	3.43	6.18
石川県	9.89	1.64	3.43	6.46
福井県	9.96	1.64	3.43	6.53
山梨県	9.66	1.64	3.43	6.23
長野県	9.67	1.64	3.43	6.24
岐阜県	9.82	1.64	3.43	6.39
静岡県	9.75	1.64	3.43	6.32
愛知県	9.93	1.64	3.43	6.5
三重県	9.91	1.64	3.43	6.48
滋賀県	9.83	1.64	3.43	6.4
京都府	9.95	1.64	3.43	6.52
大阪府	10.22	1.64	3.43	6.79
兵庫県	10.13	1.64	3.43	6.7
奈良県	9.96	1.64	3.43	6.53
和歌山県	10.18	1.64	3.43	6.75
鳥取県	9.94	1.64	3.43	6.51
島根県	10.35	1.64	3.43	6.92
岡山県	10.25	1.64	3.43	6.82
広島県	10.09	1.64	3.43	6.66
山口県	10.15	1.64	3.43	6.72
徳島県	10.43	1.64	3.43	7
香川県	10.34	1.64	3.43	6.91
愛媛県	10.26	1.64	3.43	6.83
高知県	10.3	1.64	3.43	6.87
福岡県	10.21	1.64	3.43	6.78
佐賀県	11	1.64	3.43	7.57
長崎県	10.47	1.64	3.43	7.04
熊本県	10.45	1.64	3.43	7.02
大分県	10.52	1.64	3.43	7.09
宮崎県	10.14	1.64	3.43	6.71
鹿児島県	10.65	1.64	3.43	7.22
沖縄県	10.09	1.64	3.43	6.66
