都道府県	 一般保険料率（％）	介護保険料率（％）	特定保険料率（％）	基本保険料率（％）
北海道	8.26	1.19	3.2	5.06
青森県	8.21	1.19	3.2	5.01
岩手県	8.18	1.19	3.2	4.98
宮城県	8.19	1.19	3.2	4.99
秋田県	8.21	1.19	3.2	5.01
山形県	8.18	1.19	3.2	4.98
福島県	8.2	1.19	3.2	5
茨城県	8.18	1.19	3.2	4.98
栃木県	8.18	1.19	3.2	4.98
群馬県	8.17	1.19	3.2	4.97
埼玉県	8.17	1.19	3.2	4.97
千葉県	8.17	1.19	3.2	4.97
東京都	8.18	1.19	3.2	4.98
神奈川県	8.19	1.19	3.2	4.99
新潟県	8.18	1.19	3.2	4.98
富山県	8.19	1.19	3.2	4.99
石川県	8.21	1.19	3.2	5.01
福井県	8.2	1.19	3.2	5
山梨県	8.17	1.19	3.2	4.97
長野県	8.15	1.19	3.2	4.95
岐阜県	8.19	1.19	3.2	4.99
静岡県	8.17	1.19	3.2	4.97
愛知県	8.19	1.19	3.2	4.99
三重県	8.19	1.19	3.2	4.99
滋賀県	8.18	1.19	3.2	4.98
京都府	8.19	1.19	3.2	4.99
大阪府	8.22	1.19	3.2	5.02
兵庫県	8.2	1.19	3.2	5
奈良県	8.21	1.19	3.2	5.01
和歌山県	8.21	1.19	3.2	5.01
鳥取県	8.2	1.19	3.2	5
島根県	8.21	1.19	3.2	5.01
岡山県	8.22	1.19	3.2	5.02
広島県	8.22	1.19	3.2	5.02
山口県	8.22	1.19	3.2	5.02
徳島県	8.24	1.19	3.2	5.04
香川県	8.23	1.19	3.2	5.03
愛媛県	8.19	1.19	3.2	4.99
高知県	8.21	1.19	3.2	5.01
福岡県	8.24	1.19	3.2	5.04
佐賀県	8.25	1.19	3.2	5.05
長崎県	8.22	1.19	3.2	5.02
熊本県	8.23	1.19	3.2	5.03
大分県	8.23	1.19	3.2	5.03
宮崎県	8.2	1.19	3.2	5
鹿児島県	8.22	1.19	3.2	5.02
沖縄県	8.2	1.19	3.2	5
