都道府県	一般保険料率（％）	介護保険料率（％）	特定保険料率（％）	基本保険料率（％）
北海道	10.31	1.73	3.51	6.8
青森県	9.87	1.73	3.51	6.36
岩手県	9.8	1.73	3.51	6.29
宮城県	10.1	1.73	3.51	6.59
秋田県	10.14	1.73	3.51	6.63
山形県	10.03	1.73	3.51	6.52
福島県	9.74	1.73	3.51	6.23
茨城県	9.84	1.73	3.51	6.33
栃木県	9.92	1.73	3.51	6.41
群馬県	9.84	1.73	3.51	6.33
埼玉県	9.79	1.73	3.51	6.28
千葉県	9.81	1.73	3.51	6.3
東京都	9.9	1.73	3.51	6.39
神奈川県	9.91	1.73	3.51	6.4
新潟県	9.63	1.73	3.51	6.12
富山県	9.71	1.73	3.51	6.2
石川県	9.99	1.73	3.51	6.48
福井県	9.88	1.73	3.51	6.37
山梨県	9.9	1.73	3.51	6.39
長野県	9.69	1.73	3.51	6.18
岐阜県	9.86	1.73	3.51	6.35
静岡県	9.75	1.73	3.51	6.24
愛知県	9.9	1.73	3.51	6.39
三重県	9.9	1.73	3.51	6.39
滋賀県	9.87	1.73	3.51	6.36
京都府	10.03	1.73	3.51	6.52
大阪府	10.19	1.73	3.51	6.68
兵庫県	10.14	1.73	3.51	6.63
奈良県	10.07	1.73	3.51	6.56
和歌山県	10.15	1.73	3.51	6.64
鳥取県	10	1.73	3.51	6.49
島根県	10.13	1.73	3.51	6.62
岡山県	10.22	1.73	3.51	6.71
広島県	10	1.73	3.51	6.49
山口県	10.21	1.73	3.51	6.7
徳島県	10.3	1.73	3.51	6.79
香川県	10.31	1.73	3.51	6.8
愛媛県	10.02	1.73	3.51	6.51
高知県	10.21	1.73	3.51	6.7
福岡県	10.24	1.73	3.51	6.73
佐賀県	10.75	1.73	3.51	7.24
長崎県	10.24	1.73	3.51	6.73
熊本県	10.18	1.73	3.51	6.67
大分県	10.21	1.73	3.51	6.7
宮崎県	10.02	1.73	3.51	6.51
鹿児島県	10.16	1.73	3.51	6.65
沖縄県	9.95	1.73	3.51	6.44
