都道府県	一般保険料率（％）	介護保険料率（％）	特定保険料率（％）	基本保険料率（％）
北海道	10.12	1.72	4.07	6.05
青森県	10	1.72	4.07	5.93
岩手県	9.93	1.72	4.07	5.86
宮城県	10.01	1.72	4.07	5.94
秋田県	10.02	1.72	4.07	5.95
山形県	9.96	1.72	4.07	5.89
福島県	9.96	1.72	4.07	5.89
茨城県	9.93	1.72	4.07	5.86
栃木県	9.95	1.72	4.07	5.88
群馬県	9.95	1.72	4.07	5.88
埼玉県	9.94	1.72	4.07	5.87
千葉県	9.93	1.72	4.07	5.86
東京都	9.97	1.72	4.07	5.9
神奈川県	9.98	1.72	4.07	5.91
新潟県	9.9	1.72	4.07	5.83
富山県	9.93	1.72	4.07	5.86
石川県	10.03	1.72	4.07	5.96
福井県	10.02	1.72	4.07	5.95
山梨県	9.94	1.72	4.07	5.87
長野県	9.85	1.72	4.07	5.78
岐阜県	9.99	1.72	4.07	5.92
静岡県	9.92	1.72	4.07	5.85
愛知県	9.97	1.72	4.07	5.9
三重県	9.94	1.72	4.07	5.87
滋賀県	9.97	1.72	4.07	5.9
京都府	9.98	1.72	4.07	5.91
大阪府	10.06	1.72	4.07	5.99
兵庫県	10	1.72	4.07	5.93
奈良県	10.02	1.72	4.07	5.95
和歌山県	10.02	1.72	4.07	5.95
鳥取県	9.98	1.72	4.07	5.91
島根県	10	1.72	4.07	5.93
岡山県	10.06	1.72	4.07	5.99
広島県	10.03	1.72	4.07	5.96
山口県	10.03	1.72	4.07	5.96
徳島県	10.08	1.72	4.07	6.01
香川県	10.09	1.72	4.07	6.02
愛媛県	10.03	1.72	4.07	5.96
高知県	10.04	1.72	4.07	5.97
福岡県	10.12	1.72	4.07	6.05
佐賀県	10.16	1.72	4.07	6.09
長崎県	10.06	1.72	4.07	5.99
熊本県	10.07	1.72	4.07	6
大分県	10.08	1.72	4.07	6.01
宮崎県	10.01	1.72	4.07	5.94
鹿児島県	10.03	1.72	4.07	5.96
沖縄県	10.03	1.72	4.07	5.96
