都道府県	一般保険料率（％）	介護保険料率（％）	特定保険料率（％）	基本保険料率（％）
北海道	10.21	1.6	3.42	6.79
青森県	9.49	1.6	3.42	6.07
岩手県	9.63	1.6	3.42	6.21
宮城県	10.01	1.6	3.42	6.59
秋田県	9.85	1.6	3.42	6.43
山形県	9.84	1.6	3.42	6.42
福島県	9.59	1.6	3.42	6.17
茨城県	9.66	1.6	3.42	6.24
栃木県	9.79	1.6	3.42	6.37
群馬県	9.81	1.6	3.42	6.39
埼玉県	9.78	1.6	3.42	6.36
千葉県	9.77	1.6	3.42	6.35
東京都	9.98	1.6	3.42	6.56
神奈川県	10.02	1.6	3.42	6.6
新潟県	9.35	1.6	3.42	5.93
富山県	9.62	1.6	3.42	6.2
石川県	9.94	1.6	3.42	6.52
福井県	10.07	1.6	3.42	6.65
山梨県	9.94	1.6	3.42	6.52
長野県	9.55	1.6	3.42	6.13
岐阜県	9.91	1.6	3.42	6.49
静岡県	9.85	1.6	3.42	6.43
愛知県	10.02	1.6	3.42	6.6
三重県	9.94	1.6	3.42	6.52
滋賀県	9.89	1.6	3.42	6.47
京都府	10.13	1.6	3.42	6.71
大阪府	10.34	1.6	3.42	6.92
兵庫県	10.18	1.6	3.42	6.76
奈良県	10.22	1.6	3.42	6.8
和歌山県	10	1.6	3.42	6.58
鳥取県	9.68	1.6	3.42	6.26
島根県	9.92	1.6	3.42	6.5
岡山県	10.02	1.6	3.42	6.6
広島県	9.95	1.6	3.42	6.53
山口県	10.2	1.6	3.42	6.78
徳島県	10.19	1.6	3.42	6.77
香川県	10.33	1.6	3.42	6.91
愛媛県	10.03	1.6	3.42	6.61
高知県	9.89	1.6	3.42	6.47
福岡県	10.35	1.6	3.42	6.93
佐賀県	10.42	1.6	3.42	7
長崎県	10.17	1.6	3.42	6.75
熊本県	10.3	1.6	3.42	6.88
大分県	10.25	1.6	3.42	6.83
宮崎県	9.85	1.6	3.42	6.43
鹿児島県	10.13	1.6	3.42	6.71
沖縄県	9.52	1.6	3.42	6.1
