都道府県	一般保険料率（％）	介護保険料率（％）	特定保険料率（％）	基本保険料率（％）
北海道	10.28	1.62	3.24	7.04
青森県	9.85	1.62	3.24	6.61
岩手県	9.51	1.62	3.24	6.27
宮城県	10.10	1.62	3.24	6.86
秋田県	10.01	1.62	3.24	6.77
山形県	9.75	1.62	3.24	6.51
福島県	9.50	1.62	3.24	6.26
茨城県	9.52	1.62	3.24	6.28
栃木県	9.82	1.62	3.24	6.58
群馬県	9.68	1.62	3.24	6.44
埼玉県	9.67	1.62	3.24	6.43
千葉県	9.73	1.62	3.24	6.49
東京都	9.85	1.62	3.24	6.61
神奈川県	9.92	1.62	3.24	6.68
新潟県	9.21	1.62	3.24	5.97
富山県	9.59	1.62	3.24	6.35
石川県	9.70	1.62	3.24	6.46
福井県	9.71	1.62	3.24	6.47
山梨県	9.55	1.62	3.24	6.31
長野県	9.63	1.62	3.24	6.39
岐阜県	9.80	1.62	3.24	6.56
静岡県	9.61	1.62	3.24	6.37
愛知県	9.93	1.62	3.24	6.69
三重県	9.77	1.62	3.24	6.53
滋賀県	9.88	1.62	3.24	6.64
京都府	9.89	1.62	3.24	6.65
大阪府	10.13	1.62	3.24	6.89
兵庫県	10.12	1.62	3.24	6.88
奈良県	9.91	1.62	3.24	6.67
和歌山県	10.06	1.62	3.24	6.82
鳥取県	9.86	1.62	3.24	6.62
島根県	9.94	1.62	3.24	6.70
岡山県	10.05	1.62	3.24	6.81
広島県	9.78	1.62	3.24	6.54
山口県	10.15	1.62	3.24	6.91
徳島県	10.24	1.62	3.24	7.00
香川県	10.02	1.62	3.24	6.78
愛媛県	9.98	1.62	3.24	6.74
高知県	10.05	1.62	3.24	6.81
福岡県	10.11	1.62	3.24	6.87
佐賀県	10.55	1.62	3.24	7.31
長崎県	10.06	1.62	3.24	6.82
熊本県	10.08	1.62	3.24	6.84
大分県	10.08	1.62	3.24	6.84
宮崎県	9.77	1.62	3.24	6.53
鹿児島県	10.13	1.62	3.24	6.89
沖縄県	9.44	1.62	3.24	6.20
