都道府県	 一般保険料率（％）	介護保険料率（％）	特定保険料率（％）	基本保険料率（％）
北海道	9.6	1.51	3.62	5.98
青森県	9.51	1.51	3.62	5.89
岩手県	9.45	1.51	3.62	5.83
宮城県	9.5	1.51	3.62	5.88
秋田県	9.54	1.51	3.62	5.92
山形県	9.45	1.51	3.62	5.83
福島県	9.47	1.51	3.62	5.85
茨城県	9.44	1.51	3.62	5.82
栃木県	9.47	1.51	3.62	5.85
群馬県	9.47	1.51	3.62	5.85
埼玉県	9.45	1.51	3.62	5.83
千葉県	9.44	1.51	3.62	5.82
東京都	9.48	1.51	3.62	5.86
神奈川県	9.49	1.51	3.62	5.87
新潟県	9.43	1.51	3.62	5.81
富山県	9.44	1.51	3.62	5.82
石川県	9.52	1.51	3.62	5.9
福井県	9.5	1.51	3.62	5.88
山梨県	9.46	1.51	3.62	5.84
長野県	9.39	1.51	3.62	5.77
岐阜県	9.5	1.51	3.62	5.88
静岡県	9.43	1.51	3.62	5.81
愛知県	9.48	1.51	3.62	5.86
三重県	9.48	1.51	3.62	5.86
滋賀県	9.48	1.51	3.62	5.86
京都府	9.5	1.51	3.62	5.88
大阪府	9.56	1.51	3.62	5.94
兵庫県	9.52	1.51	3.62	5.9
奈良県	9.52	1.51	3.62	5.9
和歌山県	9.51	1.51	3.62	5.89
鳥取県	9.48	1.51	3.62	5.86
島根県	9.51	1.51	3.62	5.89
岡山県	9.55	1.51	3.62	5.93
広島県	9.53	1.51	3.62	5.91
山口県	9.54	1.51	3.62	5.92
徳島県	9.56	1.51	3.62	5.94
香川県	9.57	1.51	3.62	5.95
愛媛県	9.51	1.51	3.62	5.89
高知県	9.55	1.51	3.62	5.93
福岡県	9.58	1.51	3.62	5.96
佐賀県	9.6	1.51	3.62	5.98
長崎県	9.53	1.51	3.62	5.91
熊本県	9.55	1.51	3.62	5.93
大分県	9.57	1.51	3.62	5.95
宮崎県	9.5	1.51	3.62	5.88
鹿児島県	9.51	1.51	3.62	5.89
沖縄県	9.49	1.51	3.62	5.87
