都道府県	一般保険料率（％）	介護保険料率（％）	特定保険料率（％）	基本保険料率（％）
北海道	10.45	1.8	3.53	6.92
青森県	9.96	1.8	3.53	6.43
岩手県	9.74	1.8	3.53	6.21
宮城県	10.01	1.8	3.53	6.48
秋田県	10.16	1.8	3.53	6.63
山形県	10.03	1.8	3.53	6.5
福島県	9.64	1.8	3.53	6.11
茨城県	9.74	1.8	3.53	6.21
栃木県	9.87	1.8	3.53	6.34
群馬県	9.66	1.8	3.53	6.13
埼玉県	9.8	1.8	3.53	6.27
千葉県	9.79	1.8	3.53	6.26
東京都	9.84	1.8	3.53	6.31
神奈川県	9.99	1.8	3.53	6.46
新潟県	9.5	1.8	3.53	5.97
富山県	9.59	1.8	3.53	6.06
石川県	10.11	1.8	3.53	6.58
福井県	9.98	1.8	3.53	6.45
山梨県	9.79	1.8	3.53	6.26
長野県	9.71	1.8	3.53	6.18
岐阜県	9.83	1.8	3.53	6.3
静岡県	9.72	1.8	3.53	6.19
愛知県	9.91	1.8	3.53	6.38
三重県	9.81	1.8	3.53	6.28
滋賀県	9.78	1.8	3.53	6.25
京都府	10.06	1.8	3.53	6.53
大阪府	10.29	1.8	3.53	6.76
兵庫県	10.24	1.8	3.53	6.71
奈良県	10	1.8	3.53	6.47
和歌山県	10.11	1.8	3.53	6.58
鳥取県	9.97	1.8	3.53	6.44
島根県	10.03	1.8	3.53	6.5
岡山県	10.18	1.8	3.53	6.65
広島県	10.04	1.8	3.53	6.51
山口県	10.22	1.8	3.53	6.69
徳島県	10.29	1.8	3.53	6.76
香川県	10.28	1.8	3.53	6.75
愛媛県	10.22	1.8	3.53	6.69
高知県	10.17	1.8	3.53	6.64
福岡県	10.22	1.8	3.53	6.69
佐賀県	10.68	1.8	3.53	7.15
長崎県	10.26	1.8	3.53	6.73
熊本県	10.29	1.8	3.53	6.76
大分県	10.3	1.8	3.53	6.77
宮崎県	9.83	1.8	3.53	6.3
鹿児島県	10.36	1.8	3.53	6.83
沖縄県	9.95	1.8	3.53	6.42
