都道府県	一般保険料率（％）	介護保険料率（％）	特定保険料率（％）	基本保険料率（％）
北海道	10.25	1.57	3.61	6.64
青森県	9.96	1.57	3.61	6.35
岩手県	9.84	1.57	3.61	6.23
宮城県	10.05	1.57	3.61	6.44
秋田県	10.13	1.57	3.61	6.52
山形県	10.04	1.57	3.61	6.43
福島県	9.79	1.57	3.61	6.18
茨城県	9.9	1.57	3.61	6.29
栃木県	9.92	1.57	3.61	6.31
群馬県	9.91	1.57	3.61	6.3
埼玉県	9.85	1.57	3.61	6.24
千葉県	9.89	1.57	3.61	6.28
東京都	9.9	1.57	3.61	6.29
神奈川県	9.93	1.57	3.61	6.32
新潟県	9.63	1.57	3.61	6.02
富山県	9.81	1.57	3.61	6.2
石川県	10.04	1.57	3.61	6.43
福井県	9.98	1.57	3.61	6.37
山梨県	9.96	1.57	3.61	6.35
長野県	9.71	1.57	3.61	6.1
岐阜県	9.91	1.57	3.61	6.3
静岡県	9.77	1.57	3.61	6.16
愛知県	9.9	1.57	3.61	6.29
三重県	9.9	1.57	3.61	6.29
滋賀県	9.84	1.57	3.61	6.23
京都府	10.02	1.57	3.61	6.41
大阪府	10.17	1.57	3.61	6.56
兵庫県	10.1	1.57	3.61	6.49
奈良県	10.03	1.57	3.61	6.42
和歌山県	10.08	1.57	3.61	6.47
鳥取県	9.96	1.57	3.61	6.35
島根県	10.13	1.57	3.61	6.52
岡山県	10.15	1.57	3.61	6.54
広島県	10	1.57	3.61	6.39
山口県	10.18	1.57	3.61	6.57
徳島県	10.28	1.57	3.61	6.67
香川県	10.23	1.57	3.61	6.62
愛媛県	10.1	1.57	3.61	6.49
高知県	10.14	1.57	3.61	6.53
福岡県	10.23	1.57	3.61	6.62
佐賀県	10.61	1.57	3.61	7
長崎県	10.2	1.57	3.61	6.59
熊本県	10.13	1.57	3.61	6.52
大分県	10.26	1.57	3.61	6.65
宮崎県	9.97	1.57	3.61	6.36
鹿児島県	10.11	1.57	3.61	6.5
沖縄県	9.93	1.57	3.61	6.32
