都道府県	一般保険料率（％）	介護保険料率（％）	特定保険料率（％）	基本保険料率（％）
北海道	10.29	1.82	3.57	6.72
青森県	9.79	1.82	3.57	6.22
岩手県	9.77	1.82	3.57	6.2
宮城県	10.05	1.82	3.57	6.48
秋田県	9.86	1.82	3.57	6.29
山形県	9.98	1.82	3.57	6.41
福島県	9.53	1.82	3.57	5.96
茨城県	9.73	1.82	3.57	6.16
栃木県	9.96	1.82	3.57	6.39
群馬県	9.76	1.82	3.57	6.19
埼玉県	9.82	1.82	3.57	6.25
千葉県	9.87	1.82	3.57	6.3
東京都	10	1.82	3.57	6.43
神奈川県	10.02	1.82	3.57	6.45
新潟県	9.33	1.82	3.57	5.76
富山県	9.57	1.82	3.57	6
石川県	9.66	1.82	3.57	6.09
福井県	9.91	1.82	3.57	6.34
山梨県	9.67	1.82	3.57	6.1
長野県	9.49	1.82	3.57	5.92
岐阜県	9.8	1.82	3.57	6.23
静岡県	9.75	1.82	3.57	6.18
愛知県	10.01	1.82	3.57	6.44
三重県	9.81	1.82	3.57	6.24
滋賀県	9.73	1.82	3.57	6.16
京都府	10.09	1.82	3.57	6.52
大阪府	10.29	1.82	3.57	6.72
兵庫県	10.17	1.82	3.57	6.6
奈良県	10.14	1.82	3.57	6.57
和歌山県	9.94	1.82	3.57	6.37
鳥取県	9.82	1.82	3.57	6.25
島根県	10.26	1.82	3.57	6.69
岡山県	10.07	1.82	3.57	6.5
広島県	9.92	1.82	3.57	6.35
山口県	9.96	1.82	3.57	6.39
徳島県	10.25	1.82	3.57	6.68
香川県	10.23	1.82	3.57	6.66
愛媛県	10.01	1.82	3.57	6.44
高知県	10.1	1.82	3.57	6.53
福岡県	10.36	1.82	3.57	6.79
佐賀県	10.51	1.82	3.57	6.94
長崎県	10.21	1.82	3.57	6.64
熊本県	10.32	1.82	3.57	6.75
大分県	10.2	1.82	3.57	6.63
宮崎県	9.76	1.82	3.57	6.19
鹿児島県	10.26	1.82	3.57	6.69
沖縄県	9.89	1.82	3.57	6.32
