都道府県	一般保険料率（％）	介護保険料率（％）	特定保険料率（％）	基本保険料率（％）
北海道	10.15	1.58	3.67	6.48
青森県	9.97	1.58	3.67	6.3
岩手県	9.93	1.58	3.67	6.26
宮城県	9.96	1.58	3.67	6.29
秋田県	10.11	1.58	3.67	6.44
山形県	10	1.58	3.67	6.33
福島県	9.9	1.58	3.67	6.23
茨城県	9.92	1.58	3.67	6.25
栃木県	9.94	1.58	3.67	6.27
群馬県	9.94	1.58	3.67	6.27
埼玉県	9.91	1.58	3.67	6.24
千葉県	9.93	1.58	3.67	6.26
東京都	9.96	1.58	3.67	6.29
神奈川県	9.97	1.58	3.67	6.3
新潟県	9.79	1.58	3.67	6.12
富山県	9.83	1.58	3.67	6.16
石川県	9.99	1.58	3.67	6.32
福井県	9.93	1.58	3.67	6.26
山梨県	10	1.58	3.67	6.33
長野県	9.88	1.58	3.67	6.21
岐阜県	9.93	1.58	3.67	6.26
静岡県	9.89	1.58	3.67	6.22
愛知県	9.97	1.58	3.67	6.3
三重県	9.93	1.58	3.67	6.26
滋賀県	9.99	1.58	3.67	6.32
京都府	10	1.58	3.67	6.33
大阪府	10.07	1.58	3.67	6.4
兵庫県	10.07	1.58	3.67	6.4
奈良県	9.97	1.58	3.67	6.3
和歌山県	10	1.58	3.67	6.33
鳥取県	9.96	1.58	3.67	6.29
島根県	10.09	1.58	3.67	6.42
岡山県	10.1	1.58	3.67	6.43
広島県	10.04	1.58	3.67	6.37
山口県	10.13	1.58	3.67	6.46
徳島県	10.18	1.58	3.67	6.51
香川県	10.15	1.58	3.67	6.48
愛媛県	10.03	1.58	3.67	6.36
高知県	10.1	1.58	3.67	6.43
福岡県	10.1	1.58	3.67	6.43
佐賀県	10.33	1.58	3.67	6.66
長崎県	10.12	1.58	3.67	6.45
熊本県	10.1	1.58	3.67	6.43
大分県	10.04	1.58	3.67	6.37
宮崎県	9.95	1.58	3.67	6.28
鹿児島県	10.06	1.58	3.67	6.39
沖縄県	9.87	1.58	3.67	6.2
